,Tokens,sum(count)
666360,any,471688
8358,new,428847
831279,but,426474
1003419,us,307508
673376,he,287753
824942,first,275819
1136667,his,259448
169055,up,239216
161609,more,236955
1142151,done,217152
668354,would,212048
980504,did,211734
1143869,were,211252
1159659,t,207111
339764,set,200985
674280,do,193185
161613,know,190101
342367,making,184224
675957,blog,180656
350392,people,176727
1289722,part,173411
345947,top,171935
335330,go,168936
986787,You,155441
22977,them,152208
835156,then,149415
989886,minutes,148442
666364,It's,147353
16855,system,142151
9439,around,140624
835159,off,138451
995657,think,137877
1154070,great,136872
1140576,full,136045
838831,One,129873
1133667,thought,128762
503724,s,128432
1133661,said,125094
496516,jpg,123659
350389,got,122444
661325,until,121271
22296,after,118093
345949,hard,116955
2638,and,116520
164638,below,115375
982958,type,114310
980505,name,110924
995653,working,110862
173439,comes,110779
991408,own,109861
1158337,called,106596
1133669,possible,106031
